Sample,,condition,moi,timepoint,cell_type,subset,replicate
SRR25779461,1_Mock_Ciliated_1_S1_R1_001.fastq.gz,A,0,0,nhtbe,ciliated,1
SRR25779460,2_Mock_Ciliated_2_S2_R1_001.fastq.gz,A,0,0,nhtbe,ciliated,2
SRR25779459,3_Mock_Ciliated_3_S3_R1_001.fastq.gz,A,0,0,nhtbe,ciliated,3
SRR25779458,10_6hr_Ciliated_10_S10_R1_001.fastq.gz,B,0.5,6,nhtbe,ciliated,1
SRR25779457,11_6hr_Ciliated_11_S11_R1_001.fastq.gz,B,0.5,6,nhtbe,ciliated,2
SRR25779456,12_6hr_Ciliated_12_S12_R1_001.fastq.gz,B,0.5,6,nhtbe,ciliated,3
SRR25779454,4_12hr_Ciliated_4_S4_R1_001.fastq.gz,C,0.5,12,nhtbe,ciliated,1
SRR25779453,5_12hr_Ciliated_5_S5_R1_001.fastq.gz,C,0.5,12,nhtbe,ciliated,2
SRR25779452,6_12hr_Ciliated_6_S6_R1_001.fastq.gz,C,0.5,12,nhtbe,ciliated,3
SRR25779451,16_Mock_Sec_1_S16_R1_001.fastq.gz,D,0,0,nhtbe,secretory,1
SRR25779450,17_Mock_Sec_2_S17_R1_001.fastq.gz,D,0,0,nhtbe,secretory,2
SRR25779449,18_Mock_Sec_3_S18_R1_001.fastq.gz,D,0,0,nhtbe,secretory,3
SRR25779448,25_6hr_Sec_10_S25_R1_001.fastq.gz,E,0.5,6,nhtbe,secretory,1
SRR25779447,26_6hr_Sec_11_S26_R1_001.fastq.gz,E,0.5,6,nhtbe,secretory,2
SRR25779446,27_6hr_Sec_12_S27_R1_001.fastq.gz,E,0.5,6,nhtbe,secretory,3
SRR25779445,19_12hr_Sec_4_S19_R1_001.fastq.gz,F,0.5,12,nhtbe,secretory,1
SRR25779443,20_12hr_Sec_5_S20_R1_001.fastq.gz,F,0.5,12,nhtbe,secretory,2
SRR25779442,21_12hr_Sec_6_S21_R1_001.fastq.gz,F,0.5,12,nhtbe,secretory,3
